PID,UNIT,BEEP,OCCASION,Happy,PA,NA
A3XNv,5,6,30,73.80371094,23.80371094,NA
A3XNv,6,1,31,63.15030185,13.15030185,NA
A3XNv,6,2,32,50,NA,NA
A3XNv,6,3,33,67.27849787,17.27849787,NA
A3XNv,6,4,34,69.74209872,19.74209872,NA
A3XNv,6,5,35,72.5053267,22.5053267,NA
A3XNv,6,6,36,76.16743608,26.16743608,NA
A3XNv,7,1,37,50,NA,NA
A3XNv,7,2,38,64.88148082,14.88148082,NA
A3XNv,7,3,39,70.17489347,20.17489347,NA
A3XNv,7,4,40,68.94309304,18.94309304,NA
A3XNv,7,5,41,68.5435902,18.5435902,NA
A3XNv,7,6,42,66.27974077,16.27974077,NA
A3XNv,8,1,43,50,NA,NA
A3XNv,8,2,44,69.34259588,19.34259588,NA
A3XNv,8,3,45,77.53240412,27.53240412,NA
A3XNv,8,4,46,68.37713068,18.37713068,NA
A3XNv,8,5,47,60.15403054,10.15403054,NA
A3XNv,8,6,48,74.60271662,24.60271662,NA
A3XNv,9,1,49,68.67675781,18.67675781,NA
A3XNv,9,2,50,68.27725497,18.27725497,NA
A3XNv,9,3,51,71.70632102,21.70632102,NA
A3XNv,9,4,52,80.86159446,30.86159446,NA
A3XNv,9,5,53,79.92942116,29.92942116,NA
A3XNv,9,6,54,78.69762074,28.69762074,NA
A3XNv,10,1,55,38.21466619,NA,11.78533381
A3XNv,10,2,56,69.5423473,19.5423473,NA
A3XNv,10,3,57,67.04545455,17.04545455,NA
A3XNv,10,4,58,59.62136009,9.621360085,NA
A3XNv,10,5,59,50,NA,NA
A3XNv,10,6,60,70.97389915,20.97389915,NA
A3XNv,11,1,61,72.83824574,22.83824574,NA
A3XNv,11,2,62,53.66210938,3.662109375,NA
A3XNv,11,3,63,65.48073509,15.48073509,NA
A3XNv,11,4,64,72.87153764,22.87153764,NA
A3XNv,11,5,65,75.4350142,25.4350142,NA
A3XNv,11,6,66,73.13787287,23.13787287,NA
A3XNv,12,1,67,58.32297585,8.322975852,NA
A3XNv,12,2,68,69.37588778,19.37588778,NA
A3XNv,12,3,69,73.90358665,23.90358665,NA
A3XNv,12,4,70,70.04172585,20.04172585,NA
A3XNv,12,5,71,76.63352273,26.63352273,NA
A3XNv,12,6,72,66.07998935,16.07998935,NA
A3XNv,13,1,73,38.98037997,NA,11.01962003
A3XNv,13,2,74,37.3490767,NA,12.6509233
A3XNv,13,3,75,60.22061435,10.22061435,NA
A3XNv,13,4,76,59.18856534,9.188565341,NA
A3XNv,13,5,77,68.37713068,18.37713068,NA
A3XNv,13,6,78,50.23304332,0.233043324,NA
A3XNv,14,1,79,NA,NA,NA
A3XNv,14,2,80,65.98011364,15.98011364,NA
A3XNv,14,3,81,66.47949219,16.47949219,NA
A3XNv,14,4,82,62.61763139,12.61763139,NA
A3XNv,14,5,83,65.68048651,15.68048651,NA
A3XNv,14,6,84,76.30060369,26.30060369,NA
A3XNv,15,1,85,73.17116477,23.17116477,NA
A3XNv,15,2,86,60.45365767,10.45365767,NA
A3XNv,15,3,87,38.08149858,NA,11.91850142
A3XNv,15,4,88,66.17986506,16.17986506,NA
A3XNv,15,5,89,60.38707386,10.38707386,NA
A3XNv,15,6,90,63.58309659,13.58309659,NA
A3XNv,16,1,91,50,NA,NA
A3XNv,16,2,92,50,NA,NA
A3XNv,16,3,93,69.17613636,19.17613636,NA
A3XNv,16,4,94,30.02485795,NA,19.97514205
A3XNv,16,5,95,63.91601563,13.91601563,NA
A3XNv,16,6,96,62.61763139,12.61763139,NA
A3XNv,17,1,97,64.31551847,14.31551847,NA
A3XNv,17,2,98,58.8223544,8.822354403,NA
A3XNv,17,3,99,75.30184659,25.30184659,NA
A3XNv,17,4,100,68.41042259,18.41042259,NA
A3XNv,17,5,101,65.84694602,15.84694602,NA
A3XNv,17,6,102,65.81365412,15.81365412,NA
A3XNv,18,1,103,69.27601207,19.27601207,NA
A3XNv,18,2,104,72.67178622,22.67178622,NA
A3XNv,18,3,105,73.13787287,23.13787287,NA
A3XNv,18,4,106,72.70507812,22.70507812,NA
A3XNv,18,5,107,68.94309304,18.94309304,NA
A3XNv,18,6,108,64.44868608,14.44868608,NA
A3XNv,19,1,109,49.13441051,NA,0.865589489
A3XNv,19,2,110,61.38583097,11.38583097,NA
A3XNv,19,3,111,63.61638849,13.61638849,NA
A3XNv,19,4,112,64.41539418,14.41539418,NA
A3XNv,19,5,113,66.87899503,16.87899503,NA
A3XNv,19,6,114,68.80992543,18.80992543,NA
A3XNv,20,1,115,36.01740057,NA,13.98259943
A3XNv,20,2,116,NA,NA,NA
A3XNv,20,3,117,36.05069247,NA,13.94930753
A3XNv,20,4,118,NA,NA,NA
A3XNv,20,5,119,66.87899503,16.87899503,NA
A3XNv,20,6,120,67.17862216,17.17862216,NA
A3XNv,21,1,121,63.81613991,13.81613991,NA
A3XNv,21,2,122,73.27104048,23.27104048,NA
A3XNv,21,3,123,82.32643821,32.32643821,NA
A3XNv,21,4,124,70.60768821,20.60768821,NA
A3XNv,21,5,125,65.5806108,15.5806108,NA
A3XNv,21,6,126,74.4029652,24.4029652,NA
A3XNv,22,1,127,59.95427912,9.954279119,NA
A3XNv,22,2,128,75.10209517,25.10209517,NA
A3XNv,22,3,129,50.46608665,0.466086648,NA
A3XNv,22,4,130,64.31551847,14.31551847,NA
A3XNv,22,5,131,64.18235085,14.18235085,NA
A3XNv,22,6,132,66.91228693,16.91228693,NA
A3XNv,23,1,133,57.59055398,7.590553977,NA
A3XNv,23,2,134,49.50062145,NA,0.499378551
A3XNv,23,3,135,67.5448331,17.5448331,NA
A3XNv,23,4,136,66.14657315,16.14657315,NA
A3XNv,23,5,137,74.30308949,24.30308949,NA
A3XNv,23,6,138,70.94060724,20.94060724,NA
A3XNv,24,1,139,74.46954901,24.46954901,NA
A3XNv,24,2,140,71.04048295,21.04048295,NA
A3XNv,24,3,141,40.97789418,NA,9.022105824
A3XNv,24,4,142,71.57315341,21.57315341,NA
A3XNv,24,5,143,NA,NA,NA
A3XNv,24,6,144,66.34632457,16.34632457,NA
A3XNv,25,1,145,50,NA,NA
A3XNv,25,2,146,59.08868963,9.088689631,NA
A3XNv,25,3,147,79.03053977,29.03053977,NA
A3XNv,25,4,148,69.24272017,19.24272017,NA
A3XNv,25,5,149,39.91255327,NA,10.08744673
A3XNv,25,6,150,50,NA,NA
A3XNv,26,1,151,59.08868963,9.088689631,NA
A3XNv,26,2,152,59.52148438,9.521484375,NA
A3XNv,26,3,153,64.21564276,14.21564276,NA
A3XNv,26,4,154,50,NA,NA
A3XNv,26,5,155,56.99129972,6.991299716,NA
A3XNv,26,6,156,48.13565341,NA,1.864346591
A3XNv,27,1,157,NA,NA,NA
A3XNv,27,2,158,59.58806818,9.588068182,NA
A3XNv,27,3,159,69.34259588,19.34259588,NA
A3XNv,27,4,160,72.03924006,22.03924006,NA
A3XNv,27,5,161,67.5448331,17.5448331,NA
A3XNv,27,6,162,70.07501776,20.07501776,NA
A3XNv,28,1,163,65.5806108,15.5806108,NA
A3XNv,28,2,164,62.05166903,12.05166903,NA
A3XNv,28,3,165,87.35351563,37.35351563,NA
A3XNv,28,4,166,74.76917614,24.76917614,NA
A3XNv,28,5,167,74.56942472,24.56942472,NA
A3XNv,28,6,168,69.47576349,19.47576349,NA
A3XNv,29,1,169,74.07004616,24.07004616,NA
A3XNv,29,2,170,67.17862216,17.17862216,NA
A3XNv,29,3,171,67.6114169,17.6114169,NA
A3XNv,29,4,172,NA,NA,NA
A3XNv,29,5,173,NA,NA,NA
A3XNv,29,6,174,70,20,NA
a8yBw,1,1,1,73.81373387,23.81373387,NA
a8yBw,1,2,2,57.52979353,7.529793534,NA
a8yBw,1,3,3,65.12080174,15.12080174,NA
a8yBw,1,4,4,79.56821217,29.56821217,NA
a8yBw,1,5,5,68.67143968,18.67143968,NA
a8yBw,1,6,6,63.03939819,13.03939819,NA
a8yBw,2,1,7,82.99640581,32.99640581,NA
a8yBw,2,2,8,NA,NA,NA
a8yBw,2,3,9,75.4053976,25.4053976,NA
a8yBw,2,4,10,69.03874266,19.03874266,NA
a8yBw,2,5,11,63.77401165,13.77401165,NA
a8yBw,2,6,12,65.85541519,15.85541519,NA
a8yBw,3,1,13,75.65027125,25.65027125,NA
a8yBw,3,2,14,70.99771687,20.99771687,NA
a8yBw,3,3,15,42.71508011,NA,7.284919888
a8yBw,3,4,16,52.63236551,2.632365507,NA
